时间/s,半径/cm
0.0,2.0
60.0,1.9949873268608416
120.0,1.990016802588997
180.0,1.9850896699029126
240.0,1.9802071715210356
300.0,1.9753705501618122
360.0,1.9705810485436892
420.0,1.965839909385113
480.0,1.9611483754045307
540.0,1.9565076893203883
600.0,1.9519190938511326
660.0,1.9473838317152103
720.0,1.942903145631068
780.0,1.9384782783171524
840.0,1.9341104724919096
900.0,1.9298009708737864
960.0,1.9255510161812297
1020.0,1.9213618511326862
1080.0,1.9172347184466019
1140.0,1.913170860841424
1200.0,1.9091715210355988
1260.0,1.9052379417475729
1320.0,1.9013713656957927
1380.0,1.8975730355987053
1440.0,1.8938441941747572
1500.0,1.8901860841423948
1560.0,1.8865999482200648
1620.0,1.8830870291262136
1680.0,1.879648569579288
1740.0,1.8762858122977348
1800.0,1.873
1860.0,1.86979928835586
1920.0,1.8666874513357448
1980.0,1.8636591591090805
2040.0,1.8607090818452945
2100.0,1.8578318897138144
2160.0,1.855022252884066
2220.0,1.8522748415254773
2280.0,1.8495843258074753
2340.0,1.846945375899486
2400.0,1.8443526619709376
2460.0,1.841800854191256
2520.0,1.8392846227298687
2580.0,1.836798637756203
2640.0,1.834337569439685
2700.0,1.8318960879497432
2760.0,1.8294688634558034
2820.0,1.8270505661272922
2880.0,1.824635866133638
2940.0,1.822219433644267
3000.0,1.819795938828606
3060.0,1.8173600518560824
3120.0,1.814906442896123
3180.0,1.8124297821181548
3240.0,1.8099247396916052
3300.0,1.8073859857859
3360.0,1.8048081905704676
3420.0,1.8021860242147347
3480.0,1.7995141568881274
3540.0,1.7967872587600737
3600.0,1.794
3660.0,1.7911592291938998
3720.0,1.7882773368191724
3780.0,1.785357305882353
3840.0,1.7824021193899784
3900.0,1.7794147603485841
3960.0,1.7763982117647064
4020.0,1.77335545664488
4080.0,1.7702894779956426
4140.0,1.7672032588235294
4200.0,1.7640997821350763
4260.0,1.7609820309368192
4320.0,1.757852988235294
4380.0,1.7547156370370371
4440.0,1.751572960348584
4500.0,1.7484279411764707
4560.0,1.7452835625272334
4620.0,1.7421428074074077
4680.0,1.7390086588235296
4740.0,1.735884099782135
4800.0,1.7327721132897604
4860.0,1.7296756823529407
4920.0,1.7265977899782132
4980.0,1.7235414191721132
5040.0,1.7205095529411765
5100.0,1.717505174291939
5160.0,1.7145312662309369
5220.0,1.711590811764706
5280.0,1.7086867938997823
5340.0,1.7058221956427015
5400.0,1.703
5460.0,1.7001822456140352
5520.0,1.697332350877193
5580.0,1.6944553684210526
5640.0,1.691556350877193
5700.0,1.6886403508771928
5760.0,1.6857124210526313
5820.0,1.6827776140350876
5880.0,1.6798409824561404
5940.0,1.6769075789473686
6000.0,1.6739824561403507
6060.0,1.6710706666666668
6120.0,1.6681772631578946
6180.0,1.6653072982456143
6240.0,1.6624658245614032
6300.0,1.6596578947368423
6360.0,1.6568885614035085
6420.0,1.6541628771929824
6480.0,1.651485894736842
6540.0,1.6488626666666666
6600.0,1.646298245614035
6660.0,1.643797684210526
6720.0,1.6413660350877195
6780.0,1.639008350877193
6840.0,1.6367296842105268
6900.0,1.6345350877192983
6960.0,1.6324296140350878
7020.0,1.6304183157894738
7080.0,1.6285062456140351
7140.0,1.6266984561403508
7200.0,1.625
7260.0,1.623387406873348
7320.0,1.6218318000480656
7380.0,1.6203301225666908
7440.0,1.618879317471762
7500.0,1.6174763278058162
7560.0,1.616118096611392
7620.0,1.6148015669310265
7680.0,1.613523681807258
7740.0,1.6122813842826247
7800.0,1.611071617399664
7860.0,1.6098913242009132
7920.0,1.6087374477289114
7980.0,1.6076069310261958
8040.0,1.6064967171353042
8100.0,1.6054037490987745
8160.0,1.6043249699591442
8220.0,1.6032573227589522
8280.0,1.6021977505407354
8340.0,1.601143196347032
8400.0,1.60009060322038
8460.0,1.5990369142033163
8520.0,1.5979790723383802
8580.0,1.5969140206681085
8640.0,1.59583870223504
8700.0,1.5947500600817115
8760.0,1.5936450372506614
8820.0,1.5925205767844273
8880.0,1.5913736217255467
8940.0,1.5902011151165587
9000.0,1.5890000000000002
9060.0,1.5877849693209773
9120.0,1.5865724821558163
9180.0,1.5853621307438874
9240.0,1.5841535073245607
9300.0,1.5829462041372044
9360.0,1.5817398134211895
9420.0,1.580533927415885
9480.0,1.57932813836066
9540.0,1.5781220384948846
9600.0,1.5769152200579288
9660.0,1.5757072752891614
9720.0,1.574497796427952
9780.0,1.573286375713671
9840.0,1.5720726053856875
9900.0,1.570856077683371
9960.0,1.569636384846091
10020.0,1.5684131191132176
10080.0,1.5671858727241201
10140.0,1.5659542379181677
10200.0,1.5647178069347307
10260.0,1.563476172013179
10320.0,1.5622289253928807
10380.0,1.5609756593132063
10440.0,1.5597159660135254
10500.0,1.5584494377332074
10560.0,1.5571756667116223
10620.0,1.5558942451881395
10680.0,1.5546047654021284
10740.0,1.553306819592959
10800.0,1.552
10860.0,1.5506773855414908
10920.0,1.5493334674542898
10980.0,1.5479699564556963
11040.0,1.5465885632630099
11100.0,1.5451909985935304
11160.0,1.543778973164557
11220.0,1.5423541976933897
11280.0,1.5409183828973276
11340.0,1.539473239493671
11400.0,1.5380204781997189
11460.0,1.536561809732771
11520.0,1.5350989448101267
11580.0,1.533633594149086
11640.0,1.5321674684669482
11700.0,1.530702278481013
11760.0,1.5292397349085796
11820.0,1.527781548466948
11880.0,1.5263294298734176
11940.0,1.5248850898452884
12000.0,1.5234502390998594
12060.0,1.5220265883544304
12120.0,1.520615848326301
12180.0,1.5192197297327708
12240.0,1.5178399432911391
12300.0,1.5164781997187062
12360.0,1.5151362097327707
12420.0,1.513815684050633
12480.0,1.5125183333895922
12540.0,1.5112458684669479
12600.0,1.51
12660.0,1.5087749655026457
12720.0,1.5075635081481482
12780.0,1.5063650971428573
12840.0,1.5051792016931216
12900.0,1.5040052910052912
12960.0,1.5028428342857143
13020.0,1.5016913007407409
13080.0,1.5005501595767197
13140.0,1.4994188800000001
13200.0,1.4982969312169312
13260.0,1.4971837824338623
13320.0,1.4960789028571428
13380.0,1.4949817616931218
13440.0,1.4938918281481481
13500.0,1.4928085714285715
13560.0,1.4917314607407408
13620.0,1.4906599652910053
13680.0,1.4895935542857144
13740.0,1.4885316969312168
13800.0,1.4874738624338624
13860.0,1.48641952
13920.0,1.485368138835979
13980.0,1.4843191881481481
14040.0,1.4832721371428572
14100.0,1.482226455026455
14160.0,1.4811816110052909
14220.0,1.4801370742857143
14280.0,1.4790923140740742
14340.0,1.4780467995767197
14400.0,1.477
14460.0,1.4759512468803033
14520.0,1.474900600978337
14580.0,1.4738486253369272
14640.0,1.4727958829989019
14700.0,1.4717429370070878
14760.0,1.470690350404313
14820.0,1.4696386862334032
14880.0,1.4685885075371867
14940.0,1.4675403773584905
15000.0,1.466494858740142
15060.0,1.4654525147249675
15120.0,1.464413908355795
15180.0,1.4633796026754518
15240.0,1.4623501607267646
15300.0,1.4613261455525606
15360.0,1.4603081201956671
15420.0,1.459296647698912
15480.0,1.4582922911051213
15540.0,1.4572956134571227
15600.0,1.4563071777977439
15660.0,1.4553275471698113
15720.0,1.4543572846161525
15780.0,1.4533969531795947
15840.0,1.452447115902965
15900.0,1.4515083358290906
15960.0,1.4505811760007985
16020.0,1.4496661994609163
16080.0,1.4487639692522714
16140.0,1.44787504841769
16200.0,1.447
16260.0,1.4461406897833682
16320.0,1.4452978855625438
16380.0,1.4444705033962264
16440.0,1.4436574593431168
16500.0,1.4428576694619146
16560.0,1.4420700498113206
